MarxanID,NT_HVRA_Loss,Treated_HVRA_Loss
1010,0.1,0.2
1011,0.1,0.2
1016,0.2,0.2
1017,0.9,0.9
1021,0.4,0.4
1042,0.2,0.2
1081,0.2,0.2
1091,0.2,0.2
1092,0.2,0.2
1093,0.2,0.2
1094,0.2,0.2
1095,0.2,0.2
1096,0.2,0.2
1260,0.2,0.2
1266,0.2,0.2
1278,0.1,0.1
1315,0.4,0.2
1316,0.4,0.2
1317,0.1,0.1
1318,0.2,0.2
1319,0.2,0.2
1320,0.4,0.2
1321,0.4,0.2
1324,0.4,0.2
1325,0.4,0.2
1331,0.4,0.2
1332,0.2,0.2
1334,0.2,0.2
1342,0.2,0.2
1352,0.2,0.2
1354,0.2,0.2
1355,0.2,0.2
1356,0.2,0.2
1357,0.9,0.2
1358,0.2,0.2
1360,0.2,0.2
1362,0.2,0.2
1363,0.4,0.2
1364,0.2,0.2
1365,0.1,0.2
1366,0.4,0.4
1367,0.4,0.2
1368,0.1,0.2
1369,0.4,0.2
1370,0.4,0.4
1372,0.1,0.2
1377,0.2,0.2
1378,0.2,0.2
1379,0.2,0.2
1380,0.2,0.2
1383,0.2,0.2
1384,0.2,0.2
1385,0.2,0.2
1386,0.2,0.2
1387,0.2,0.2
1388,0.2,0.2
1390,0.1,0.2
1391,0.2,0.2
1392,0.2,0.2
1393,0.4,0.4
1396,0.4,0.4
1397,0.1,0.2
1401,0.4,0.2
1402,0.2,0.2
1408,0.2,0.2
1410,0.2,0.2
1411,0.2,0.2
1413,0.1,0.2
1415,0.2,0.4
1416,0.2,0.4
1418,0.2,0.2
1419,0.2,0.2
1420,0.4,0.4
1434,0.4,0.2
1441,0.2,0.2
1445,0.2,0.2
1446,0.4,0.2
1447,0.4,0.2
1448,0.2,0.2
1458,0.2,0.2
1461,0.2,0.2
1463,0.2,0.4
1486,0.4,0.2
1488,0.2,0.2
1496,0.2,0.2
1497,0.4,0.2
1500,0.4,0.2
1501,0.2,0.2
1510,0.4,0.2
1512,0.2,0.2
1515,0.2,0.2
1522,0.2,0.2
1524,0.2,0.2
1526,0.2,0.2
1527,0.2,0.2
1532,0.1,0.2
1541,0.2,0.2
1542,0.2,0.2
1546,0.2,0.2
1554,0.4,0.2
1555,0.2,0.2
1556,0.2,0.2
1558,0.2,0.2
1561,0.1,0.2
1583,0.2,0.2
1584,0.2,0.2
1588,0.4,0.2
1000,0.2,0.2
1001,0.1,0.2
1002,0.2,0.2
1003,0.6,0.2
1004,0.4,0.2
1005,0.4,0.2
1006,0.4,0.2
1007,0.4,0.2
1008,0.2,0.2
1009,0,0
1012,0,0
1013,0.1,0.1
1014,0.1,0.1
1015,0.2,0.2
1018,0.4,0.4
1019,0.2,0.2
1020,0.9,0.6
1022,0.1,0.1
1023,0.4,0.4
1024,0.6,0.4
1025,0.6,0.4
1026,0.4,0.4
1027,0.4,0.4
1028,0.2,0.2
1029,0.2,0.2
1030,0.2,0.2
1031,0.2,0.2
1032,0.2,0.2
1033,0.2,0.2
1034,0.2,0.2
1035,0.2,0.2
1036,0.2,0.2
1037,0.2,0.2
1038,0.6,0.4
1039,0.6,0.4
1040,0.4,0.4
1041,0.2,0.2
1043,0.6,0.4
1044,0.4,0.4
1045,0.4,0.4
1046,0.2,0.2
1047,0.2,0.2
1048,0.6,0.4
1049,0.4,0.4
1050,0.2,0.2
1051,0.6,0.4
1052,0.6,0.4
1053,0.6,0.4
1054,0.6,0.4
1055,0.6,0.4
1056,0.6,0.4
1057,0.6,0.4
1058,0.6,0.4
1059,0.2,0.2
1060,0.2,0.2
1061,0.2,0.2
1062,0.2,0.2
1063,0.2,0.2
1064,0.6,0.4
1066,0.6,0.4
1068,0.2,0.2
1072,0.2,0.2
1073,0.4,0.4
1074,0.4,0.4
1075,0.6,0.4
1076,0.4,0.4
1077,0.2,0.2
1078,0.2,0.2
1079,0.2,0.2
1080,0.2,0.2
1082,0.2,0.2
1083,0.9,0.9
1084,0.2,0.2
1085,0.2,0.2
1086,0.2,0.2
1088,0.2,0.2
1089,0.2,0.2
1090,0.9,0.9
1097,0.2,0.2
1098,0.2,0.2
1099,0.2,0.2
1100,0.2,0.2
1101,0.2,0.2
1102,0.2,0.2
1103,0.2,0.2
1104,0.2,0.2
1105,0.2,0.2
1106,0.2,0.2
1107,0.2,0.2
1108,0.2,0.2
1109,0.2,0.2
1110,0.2,0.2
1111,0.2,0.4
1112,0.2,0.4
1113,0.2,0.4
1114,0.2,0.2
1115,0.2,0.4
1116,0.2,0.4
1117,0.2,0.2
1119,0.2,0.2
1120,0.2,0.4
1121,0.2,0.2
1122,0.2,0.2
1123,0.2,0.4
1124,0.2,0.2
1125,0.2,0.2
1126,0.2,0.2
1127,0.2,0.2
1128,0.2,0.2
1129,0.2,0.2
1130,0.2,0.2
1131,0.2,0.2
1132,0.2,0.2
1133,0.2,0.2
1134,0.2,0.2
1135,0.2,0.2
1136,0.2,0.2
1137,0.2,0.2
1138,0.2,0.2
1139,0.4,0.4
1140,0.2,0.2
1141,0.2,0.2
1142,0.2,0.2
1143,0.2,0.2
1144,0.2,0.2
1145,0.2,0.2
1147,0,0
1148,0,0
1149,0.4,0.2
1150,0.2,0.2
1151,0.2,0.2
1152,0,0
1153,0,0
1154,0,0
1155,0.2,0.2
1156,0.2,0.2
1157,0,0
1158,0.2,0.2
1159,0.2,0.2
1160,0.2,0.2
1161,0.2,0.2
1162,0.2,0.4
1163,0.2,0.2
1164,0.2,0.2
1165,0.2,0.2
1166,0.2,0.2
1167,0.2,0.2
1169,0.2,0.4
1170,0.4,0.2
1171,0.2,0.2
1172,0.2,0.2
1173,0.2,0.2
1174,0.2,0.2
1175,0.2,0.2
1176,0.2,0.2
1177,0.2,0.2
1178,0.2,0.4
1179,0.2,0.2
1180,0.2,0.2
1181,0.2,0.2
1182,0.2,0.2
1183,0.2,0.2
1184,0.2,0.2
1185,0.2,0.2
1186,0.2,0.2
1187,0.2,0.2
1188,0.2,0.2
1189,0.2,0.2
1190,0.2,0.2
1191,0.2,0.2
1192,0.2,0.2
1193,0.2,0.4
1194,0.2,0.2
1195,0.2,0.2
1196,0.2,0.2
1197,0.2,0.2
1198,0.2,0.2
1199,0.2,0.2
1200,0.2,0.2
1201,0.2,0.2
1202,0.2,0.2
1203,0.2,0.2
1204,0.2,0.2
1205,0.2,0.2
1206,0.2,0.2
1207,0.2,0.4
1208,0.2,0.2
1209,0.2,0.2
1210,0.2,0.2
1211,0.4,0.2
1212,0.2,0.2
1213,0.2,0.2
1214,0.2,0.2
1215,0.2,0.2
1216,0.2,0.2
1217,0.2,0.2
1218,0.2,0.2
1219,0.2,0.2
1220,0.2,0.2
1221,0.4,0.2
1222,0.2,0.2
1223,0.4,0.2
1224,0.2,0.2
1225,0.2,0.2
1226,0.2,0.2
1227,0.2,0.2
1228,0.2,0.2
1229,0.2,0.2
1230,0.2,0.2
1231,0.2,0.2
1232,0.2,0.2
1233,0.4,0.2
1234,0.2,0.2
1235,0.2,0.2
1236,0.2,0.2
1237,0.2,0.2
1238,0.2,0.2
1239,0.2,0.2
1240,0.2,0.2
1241,0.2,0.2
1242,0.2,0.2
1243,0.2,0.2
1244,0.2,0.2
1245,0.4,0.2
1246,0.9,0.2
1247,0.2,0.2
1248,0.2,0.2
1249,0.1,0.1
1250,0.2,0.2
1251,0.2,0.2
1252,0.2,0.2
1253,0.2,0.2
1254,0.2,0.2
1255,0.1,0.1
1256,0.1,0.1
1257,0.4,0.4
1258,0.4,0.2
1259,0.2,0.2
1261,0.1,0.1
1262,0.1,0.1
1263,0.4,0.2
1264,0.1,0.1
1265,0.2,0.2
1267,0.1,0.1
1268,0.1,0.1
1269,0,0
1270,0.4,0.2
1271,0.2,0.2
1272,0.1,0.1
1273,0.2,0.2
1274,0.1,0.1
1275,0.1,0.1
1276,0.4,0.2
1277,0.4,0.2
1279,0.2,0.4
1280,0,0
1281,0,0
1282,0,0
1283,0,0
1284,0.1,0.2
1285,0.1,0.2
1286,0.4,0.4
1287,0.1,0.2
1288,0.4,0.4
1289,0.4,0.2
1290,0.2,0.2
1291,0.2,0.2
1292,0.2,0.2
1293,0.4,0.2
1294,0.2,0.2
1295,0.2,0.2
1296,0.9,0.2
1297,0.2,0.2
1298,0.1,0.1
1299,0.1,0.1
1300,0.1,0.1
1301,0.1,0.1
1302,0.4,0.2
1303,0.2,0.2
1304,0.1,0.1
1305,0.1,0.1
1306,0.1,0.1
1307,0.1,0.1
1308,0.1,0.1
1309,0.2,0.2
1310,0.2,0.2
1311,0.9,0.2
1312,0.1,0.1
1313,0.1,0.1
1314,0,0
1322,0.4,0.4
1323,0.6,0.4
1326,0.9,0.2
1327,0.1,0.1
1328,0.2,0.2
1329,0.4,0.2
1330,0.4,0.2
1333,0.2,0.2
1335,0.1,0.1
1336,0.2,0.4
1337,0.2,0.2
1338,0.4,0.2
1339,0.4,0.2
1340,0.4,0.2
1341,0.2,0.2
1343,0.9,0.2
1344,0.2,0.2
1345,0.4,0.2
1346,0.2,0.4
1347,0.1,0.1
1348,0,0
1349,0.2,0.2
1350,0.2,0.2
1351,0.2,0.2
1353,0.2,0.2
1359,0.9,0.2
1361,0.2,0.2
1371,0,0
1373,0.4,0.2
1374,0.2,0.2
1375,0.2,0.2
1376,0.2,0.2
1381,0.1,0.1
1382,0.1,0.1
1389,0.9,0.2
1394,0.1,0.1
1395,0.1,0.1
1398,0.2,0.4
1399,0.2,0.2
1400,0.2,0.2
1403,0.9,0.2
1404,0.4,0.4
1405,0.2,0.2
1406,0.2,0.2
1407,0.2,0.2
1409,0.9,0.2
1412,0.9,0.2
1414,0,0
1417,0.2,0.2
1428,0,0
1431,0,0
1432,0.2,0.2
1433,0,0
1435,0.1,0.1
1438,0,0
1439,0.2,0.2
1440,0.9,0.2
1442,0.2,0.2
1443,0.2,0.2
1444,0.2,0.2
1449,0.2,0.2
1450,0.2,0.2
1451,0.2,0.2
1452,0.2,0.2
1453,0,0
1457,0.2,0.2
1459,0.2,0.2
1460,0.2,0.2
1462,0,0
1464,0.1,0.1
1468,0.1,0.1
1469,0,0
1470,0.4,0.2
1471,0.2,0.2
1472,0.2,0.2
1473,0.2,0.2
1474,0.4,0.2
1475,0.4,0.2
1476,0.2,0.2
1477,0.4,0.2
1478,0.2,0.2
1479,0.4,0.4
1480,0.2,0.2
1481,0.2,0.2
1482,0.2,0.2
1483,0.6,0.4
1484,0.4,0.2
1485,0.2,0.2
1487,0.4,0.2
1489,0.2,0.2
1490,0.2,0.4
1491,0.2,0.2
1492,0.2,0.2
1493,0.2,0.2
1495,0.4,0.2
1498,0.2,0.2
1499,0.2,0.2
1502,0.2,0.2
1503,0.2,0.2
1504,0.2,0.2
1505,0.4,0.2
1506,0.4,0.4
1507,0.4,0.2
1508,0.2,0.2
1509,0.2,0.2
1511,0.4,0.2
1513,0.2,0.2
1514,0.4,0.2
1516,0.2,0.2
1517,0.6,0.4
1518,0.4,0.2
1519,0.1,0.2
1520,0.2,0.2
1521,0.2,0.2
1523,0.2,0.2
1525,0.2,0.2
1528,0.2,0.2
1529,0.2,0.2
1530,0.4,0.4
1531,0.2,0.2
1533,0,0
1534,0.4,0.4
1535,0.2,0.2
1536,0.4,0.2
1537,0.1,0.1
1538,0.2,0.4
1539,0.6,0.2
1540,0.2,0.2
1543,0.2,0.2
1545,0.2,0.2
1547,0.2,0.2
1548,0.2,0.2
1549,0.2,0.2
1550,0.2,0.2
1551,0.2,0.2
1552,0.2,0.2
1553,0.4,0.2
1557,0,0
1559,0.4,0.4
1560,0.2,0.2
1562,0.2,0.2
1563,0.2,0.2
1564,0.4,0.2
1565,0.2,0.2
1566,0.2,0.2
1567,0.2,0.2
1568,0.2,0.2
1569,0.6,0.2
1570,0.4,0.2
1571,0.2,0.2
1572,0.2,0.2
1573,0.2,0.2
1574,0.2,0.2
1575,0.2,0.2
1576,0.2,0.2
1578,0.2,0.2
1579,0.2,0.2
1580,0.2,0.2
1581,0.2,0.2
1582,0,0
1585,0.2,0.2
1586,0.2,0.2
1587,0.4,0.4
1590,0.2,0.2
1591,0.2,0.2
1592,0.2,0.2
1593,0.2,0.1
1594,0.2,0.2
1595,0.2,0.2
1596,0.2,0.2
1597,0.2,0.2
1598,0.2,0.2
1599,0.2,0.2
1600,0.2,0.2
1601,0.2,0.2
1602,0.2,0.2
1603,0.2,0.2
1604,0.2,0.2
1605,0.2,0.2
1606,0.4,0.2
1607,0.2,0.2
1608,0.2,0.2
1609,0.2,0.2
1610,0.1,0.2
1611,0.2,0.2
1612,0.4,0.2
1613,0.1,0.1
1615,0.2,0.2
1616,0.4,0.2
1617,0.2,0.2
1618,0.2,0.2
1619,0.2,0.2
1620,0.4,0.2
1621,0.2,0.2
1622,0.2,0.2
1623,0.4,0.2
1624,0.2,0.2
1625,0.2,0.2
1421,0.2,0.4
1422,0.2,0.4
1423,0.2,0.4
1424,0.2,0.4
1425,0.2,0.4
1426,0.2,0.4
1427,0.2,0.4
1429,0.2,0.4
1430,0.2,0.4
1436,0.2,0.4
1437,0.2,0.4
1454,0.2,0.4
1455,0.2,0.4
1456,0.2,0.4
1465,0.2,0.4
1466,0.2,0.4
1467,0.2,0.4
1544,0.2,0.4
1589,0.2,0.4
1614,0.2,0.4
